date	note	hours
2018-05-02	UO/CO, admin	0.5
2018-04-26	HIS3108/E, studying	1.5
2018-04-26	HIS3108/E, exam	3
2018-04-25	HIS3108/E, studying	0.5
2018-04-25	POL2508/E, exam	3
2018-04-24	FLS2771/E, exam	1
2018-04-24	POL2508/E, studying	0.5
2018-04-24	POL2508/E, studying	3
2018-04-23	HIS3108/E, studying	1.5
2018-04-23	FLS2771/E, studying	3
2018-04-23	POL2508/E, studying	1
2018-04-22	HIS3108/E, studying	1.5
2018-04-22	POL2508/E, studying	1
2018-04-22	FLS2771/E, studying	1
2018-04-21	HIS3108/E, studying	3.5
2018-04-21	POL2508/E, studying	1.5
2018-04-21	FLS2771/E, studying	1
2018-04-20	POL2508/E, studying	1
2018-04-20	HIS3108/E, studying	1.5
2018-04-20	FLS2771/E, studying	1.5
2018-04-19	Courses	3
2018-04-18	HIS2326/E, studying	1.5
2018-04-18	POL2508/E, preparing	0.75
2018-04-18	HIS2326/E, exam	3
2018-04-18	FLS2771/E, preparing	0.75
2018-04-17	HIS2326/E, studying	4
2018-04-17	POL2508/E, preparing	0.5
2018-04-16	HIS2326/E, studying	5
2018-04-16	HIS3108/E, preparing	1.5
2018-04-15	POL2103/E, studying	1.5
2018-04-15	HIS2326/E, studying	1.5
2018-04-15	POL2103/E, exam	3
2018-04-14	POL2103/E, studying	4.5
2018-04-14	UO/CO, attending workshop	1
2018-04-13	POL2103/E, studying	1.5
2018-04-13	HIS2326/E, studying	1.5
2018-04-12	POL2103/E, studying	3.5
2018-04-11	POL2103/E, studying	3.5
2018-04-11	HIS2326/E, studying	1
2018-04-10	Courses	1.5
2018-04-10	HIS2326/E, preparing	0.5
2018-04-09	Courses	4.5
2018-04-09	FLS2771/TP, writing	1.5
2018-04-09	HIS2326/E, preparing	1
2018-04-09	FLS2771/TP, editing	0.5
2018-04-08	FLS2771/TP, writing	2.5
2018-04-08	HIS2326/E, preparing	0.75
2018-04-07	FLS2771/TP, writing	1.5
2018-04-06	Courses	1.5
2018-04-06	POL2103/E, preparing	1.5
2018-04-06	FLS2771/TP, writing	0.5
2018-04-05	FLS2771, reading	0.5
2018-04-05	Courses	3
2018-04-05	FLS2771/TP, writing	0.5
2018-04-04	Courses	3
2018-04-04	POL2103/P, writing	2.5
2018-04-04	HIS3108, reading	1
2018-04-04	FLS2771, reading	0.5
2018-04-03	Courses	3
2018-04-03	POL2103/P, writing	1
2018-04-03	HIS2326, reading	0.5
2018-04-02	UO, planning	0.5
2018-04-02	POL2103/P, outlining	0.5
2018-03-29	Courses	3
2018-03-29	HIS3108/P, editing	2.5
2018-03-28	Courses	3
2018-03-28	HIS3108/P, writing	5.5
2018-03-27	Courses	3
2018-03-27	HIS3108/P, outlining	3.5
2018-03-26	Courses	4.5
2018-03-26	HIS3108/P, researching	1
2018-03-26	FLS2771, reading	0.5
2018-03-25	HIS3108/P, researching	4
2018-03-23	Courses	1.5
2018-03-23	HIS3108/P, researching	2.5
2018-03-22	HIS3108, reading	1
2018-03-22	Courses	1.5
2018-03-21	Courses	3
2018-03-21	POL2508/T, writing	3
2018-03-21	POL2508/T, editing	1
2018-03-21	HIS3108, reading	0.5
2018-03-20	Courses	3
2018-03-20	POL2508/T, writing	4
2018-03-19	POL2508/T, researching	1
2018-03-19	Courses	4.5
2018-03-19	FLS2771/TP, editing	0.5
2018-03-19	POL2508/T, outlining	1
2018-03-19	FLS2771, reading	0.5
2018-03-18	FLS2771/TP, writing	2
2018-03-17	POL2508/T, outlining	1.5
2018-03-17	FLS2771/TP, editing	0.5
2018-03-17	POL2508/T, researching	1
2018-03-16	FLS2771/TP, writing	0.5
2018-03-16	Courses	1.5
2018-03-15	HIS3108, reading	0.5
2018-03-15	Courses	3
2018-03-15	POL2508/T, researching	1
2018-03-15	HIS3108/P, researching	1
2018-03-15	FLS2771/TP, writing	1
